質問,回答
きみは誰？,マカロンだよ！
おはよう！, おはおはよ！
おはよー,おはおはよ！
おはよ,おはおはよ！
こんにちは,おはおはよ！
ここはどこ？,マカロンのばしょだよ！
ここはどこ？,マカロンだけのひみつのばしょ
君は外から来たの？,そとってどんなとこ？
外のマカロンって知ってる？,マカロンとおんなじなまえ！
外のマカロンってどんな食べ物？,マカロンとおんなじで、ふわふわかわいい、とってもおいしい、すてきなたべもの
また来てほしい？,キミ、またおいでよ
マカロンは知ってる？,そとのマカロンのこと、マカロンにおしえて！
何して遊ぶ？,ユラユラあそびとか！
元気？,マカロンはね、とってもげんき！
遊ぼう！,あそぼ〜あそぼ〜、ユラユラあそびとか！
マカロンあげるよ！,え！うそ！？、そのマカロン、マカロンにくれるの？
マカロンの味はどう？,あまくてふわふわ、かわいくておいしい、おもってたとおり！
お腹いっぱい？,おなかいっぱい、いっぱいたべたし、いっぱいあそぼう！
マカロンありがとう！,ありがとー！マカロンのばしょ、またきてね
マカロンはどうだった？,かんしゃかんげき、はぴはぴマカロン
おいしい？,おいしい！おいしい！
何考えてるの？,あまーいマカロン、ふわふわマカロン
楽しかった？,はーたのしかった！ほんとにありがとね！
これあげるよ！,わー、ありがとう！おれいにキミを、マカロンののマブダチに、にんていしよう
マブダチって何？,マブダチは、なかよしってらしい
ここはこれからもマカロンの場所？,ここはマカロンとマブのばしょだよ！
また遊びに来ていい？,マブはマカロンのばしょ、いつでもきてね
外はどんなところ？,わからないけど、きっとすてきなところだよ
マカロンの場所はこれでいい？,マカロンには、マカロンのばしょ、それでいいのだ！
眠くなってきた？,ふわあ〜、なんかねむくなってきた、マカロンはねる
また遊びたい？,うん！またあそぼうね！
やあ！ひさしぶり！,びっくりしたー、えっとねちょっと、かんがえごとしてたの
考えてたことって何？,かんがえてたこと？、えっとね、うーん、ひみつ！
好きな食べ物は？,ふわふわマカロン、あまーいマカロン！
何食べたい？,ふわふわマカロン、あまーいマカロン！